Date,Close
8/17/2016,60.43
8/18/2016,60.82
8/19/2016,61.03
8/22/2016,61.31
8/23/2016,60.45
8/24/2016,60.73
8/25/2016,61.13
8/26/2016,60.48
8/29/2016,61.12
8/30/2016,60.73
8/31/2016,60.72
9/1/2016,56.91
9/2/2016,57.73
9/6/2016,57.7
9/7/2016,57.11
9/8/2016,56.16
9/9/2016,54.95
9/12/2016,55.99
9/13/2016,55.44
9/14/2016,55.49
9/15/2016,55.78
9/16/2016,55.38
9/19/2016,55.31
9/20/2016,55.02
9/21/2016,55.7
9/22/2016,55.39
9/23/2016,54.89
9/26/2016,54.58
9/27/2016,54.61
9/28/2016,54.93
9/29/2016,54.38
9/30/2016,54.7
10/3/2016,54.59
10/4/2016,53.65
10/5/2016,53.74
10/6/2016,53.9
10/7/2016,53.87
10/10/2016,54.15
10/11/2016,53.85
10/12/2016,54.35
10/13/2016,54.86
10/14/2016,54.33
10/17/2016,53.68
10/18/2016,54.41
10/19/2016,53.53
10/20/2016,53.19
10/21/2016,53.31
10/24/2016,53.13
10/25/2016,53.44
10/26/2016,53.66
10/27/2016,53
10/28/2016,54.21
10/31/2016,54.34
11/1/2016,53.41
11/2/2016,52.9
11/3/2016,52.73
11/4/2016,52.61
11/7/2016,53.85
11/8/2016,55.61
11/9/2016,54.96
11/10/2016,53.31
11/11/2016,53.5
11/14/2016,54.48
11/15/2016,54.94
11/16/2016,54.45
11/17/2016,54.22
11/18/2016,54.23
11/21/2016,55.04
11/22/2016,57.02
11/23/2016,56.82
11/25/2016,57.52
11/28/2016,57.37
11/29/2016,57.65
11/30/2016,56.89
12/1/2016,57.15
12/2/2016,57.63
12/5/2016,57.54
12/6/2016,57.63
12/7/2016,58.67
12/8/2016,58.28
12/9/2016,59.11
12/12/2016,59.36
12/13/2016,59.99
12/14/2016,59.1
12/15/2016,59.46
12/16/2016,59.53
12/19/2016,59.82
12/20/2016,60.13
12/21/2016,60.21
12/22/2016,60.21
12/23/2016,60.28
12/27/2016,60.49
12/28/2016,60.53
12/29/2016,60.95
12/30/2016,60.47
1/3/2017,60.64
1/4/2017,61.06
1/5/2017,60.93
1/6/2017,60.7
1/9/2017,59.75
1/10/2017,60.01
1/11/2017,60.15
1/12/2017,61.57
1/13/2017,61.72
1/17/2017,62.09
1/18/2017,62.29
1/19/2017,62.24
1/20/2017,62.84
1/23/2017,63.12
1/24/2017,63.3
1/25/2017,63.1
1/26/2017,62.62
1/27/2017,62.58
1/30/2017,62.38
1/31/2017,62.23
2/1/2017,62.49
2/2/2017,63.16
2/3/2017,63.28
2/6/2017,62.6
2/7/2017,63.23
2/8/2017,63.4
2/9/2017,63.84
2/10/2017,63.27
2/13/2017,63.43
2/14/2017,63.03
2/15/2017,63.45
2/16/2017,62.55
2/17/2017,58.48
2/21/2017,58.95
2/22/2017,59.17
2/23/2017,59.06
2/24/2017,59.11
2/27/2017,58.97
2/28/2017,59.35
3/1/2017,59.49
3/2/2017,59.83
3/3/2017,59.54
3/6/2017,59.29
3/7/2017,59.09
3/8/2017,58.66
3/9/2017,59.03
3/10/2017,59.19
3/13/2017,59.05
3/14/2017,58.95
3/15/2017,59.36
3/16/2017,58.83
3/17/2017,59.2
